측점명,거리,표고,제방,구조물명
0,0,32.16,,
,23.93,32.16,,
,33,33.18,,
,34.78,33.24,1,
,43.17,32.68,,
,45.73,32.49,,
,50,32.57,,
,53.58,32.49,,
,55.22,32.68,,
,60.55,35.52,,
,61.66,36.15,2,
,64.5,36.13,,
,67.11,34.68,,
,98.06,34.51,,
,98.9,34.51,,
,100,34.51,,
0.1,0,35.05,,
,26.7,35.05,,
,30,36.48,,
,32.23,36.31,1,
,33.47,35.68,,
,34.58,35.6,,
,38.1,33.94,,
,42.99,33.39,,
,50,33.39,,
,51.01,33.73,,
,53.38,33.73,,
,59,36.34,,
,60.38,37.22,2,
,62.31,36.99,,
,65.47,35.41,,
,70.44,35.43,,
,70.49,35.43,,
,70.49,34.85,,
,71.09,34.85,,
,71.09,35.43,,
,71.14,35.43,,
,74.64,35.91,,
,77.43,35.35,,
,100,35.35,,
0.2,0,37.9,,
,8.58,37.9,,
,9.49,37.9,,
,11.59,37.9,,
,23.91,37.9,,
,25.03,37.88,,
,30.17,37.88,1,
,30.85,37.69,,
,35.64,34.73,,
,41.16,34.73,,
,45.58,34.65,,
,50,34.57,,
,52.69,34.73,,
,55.38,34.89,,
,58.59,35.05,,
,64.5,37.25,,
,66.12,37.94,2,
,70.14,37.81,,
,72.78,36.7,,
,80.68,36.67,,
,85.78,36.67,,
,97.04,36.42,,
,100,36.42,,
0.26,0,38.37,,동산교
,21.31,38.46,,
,32.39,38.5,1,
,32.39,37.75,,
,32.89,37.75,,
,37.27,35.5,,
,40.31,35.41,,
,50,35.41,,
,51.98,35.5,,
,62.63,36.22,,
,64.821,37.75,,
,65.39,37.75,,
,65.39,38.5,2,
,89.67,38.47,,
,100,38.32,,
